run,strict_f1,relaxed_f1
kimi-k2.7-code/fewshot,0.646,0.896
qwen3.5:397b/fewshot,0.648,0.87
deepseek-v4-pro/fewshot,0.656,0.868
deepseek-v4-flash/fewshot,0.574,0.864
gemma4:31b/fewshot,0.643,0.861
qwen3.5:397b/zeroshot,0.608,0.848
gemma4:31b/zeroshot,0.612,0.846
deepseek-v4-pro/zeroshot,0.62,0.839
glm-5.1/fewshot,0.602,0.826
glm-5.1/zeroshot,0.549,0.813
mistral-large-3:675b/fewshot,0.604,0.809
kimi-k2.7-code/zeroshot,0.628,0.806
mistral-large-3:675b/zeroshot,0.569,0.776
deepseek-v4-flash/zeroshot,0.61,0.771
cogito-2.1:671b/fewshot,0.571,0.767
cogito-2.1:671b/zeroshot,0.368,0.626
gliner_multi/zeroshot,0.231,0.303
